feature,IV
X6,0.8766853555585372
X14,0.8006843984113093
X13,0.8006327643587552
X12,0.8000510632333666
X15,0.7994385969914539
X16,0.7938322137710605
X17,0.7899998735853518
X7,0.5486453507224455
X18,0.4995775886140395
X20,0.47290636918574075
X19,0.45767537448491946
X23,0.4575327633691979
X21,0.45301667639826904
X22,0.45086701147376457
X8,0.4159941815302364
X9,0.36726809395352167
X10,0.34053919299597546
X11,0.2942271066444204
X1,0.190470779459022
X3,0.03814308097236865
X5,0.02937824365756702
X2,0.009181562949586441
X4,0.007089647356017878
